RL,ND,CA, NP , LPI , CLUMPY , AI , NLSI
254.3166989,2.345574237,830.96,930,2.3998,0.7836,79.9541,0.2005
1198.835926,10.87432714,3188.91,6322,4.1895,0.6574,75.4513,0.2455
566.0742465,4.982189017,2397.17,6398,0.9371,0.6593,72.9943,0.2701
312.2360571,2.951960622,279.27,2197,0.1887,0.639,64.8138,0.3519
233.4051746,2.045969679,1382.91,5050,1.156,0.7093,74.4488,0.2555
1211.690089,10.002969,1638.76,5127,1.0768,0.6637,70.8413,0.2916
247.6679621,2.21477546,1167.52,2519,2.1351,0.7269,75.4991,0.245
852.251637,7.178219027,1019.83,2016,2.2934,0.7054,73.0518,0.2695
949.1227861,8.04188363,1082.71,3733,1.1616,0.6668,69.741,0.3026
382.2181682,3.343441089,587.16,2675,1.187,0.7383,75.158,0.2484
2242.411625,20.65691074,4683.56,3791,10.6126,0.6746,81.062,0.1894
224.2220835,2.064560151,1046.69,1594,1.7522,0.7541,77.6808,0.2232
221.024142,1.962693656,1167.69,4428,2.132,0.6906,72.2204,0.2778
95.03117908,0.835199411,383.69,1925,0.7777,0.6858,69.6225,0.3038
1060.085537,9.316761352,3052.04,6524,8.1932,0.6485,74.1171,0.2588
546.9786736,4.76108061,896.08,1231,1.4783,0.8045,81.9513,0.1805
1239.282734,10.52982669,1680.22,4396,4.8374,0.6931,73.666,0.2633
535.6923405,4.950115891,1484.25,2580,3.9957,0.7552,78.8182,0.2118
1305.082616,11.51314478,1479.04,3766,0.5378,0.7111,74.7633,0.2524
567.7497558,4.996935676,2499,6436,1.4843,0.6491,72.5004,0.275
750.9592254,6.363553836,1105.43,2049,4.9741,0.7522,77.4727,0.2253
272.8876964,2.298659593,525.48,1143,1.2882,0.7359,74.7317,0.2527
192.5642006,1.730603107,664.09,3385,0.4301,0.6686,68.807,0.3119
1397.847139,12.28963132,3547.81,5427,5.0683,0.657,76.2223,0.2378
456.011818,4.03413985,1541.17,2244,0.8755,0.758,78.9886,0.2101
360.3382545,3.432342637,1211.14,2428,1.6145,0.7607,78.8267,0.2117
662.2500759,5.753800473,694.99,3053,0.2193,0.6934,71.1757,0.2882
276.1291897,2.52350724,1110.96,1776,3.6893,0.7746,79.7301,0.2027
